cutoff,model,metric,n,model_mean_error,baseline_mean_error,mean_difference,ci_low,ci_high,wilcoxon_stat,wilcoxon_p,beats_baseline,worse_than_baseline
2018,Poly Ridge,squared_error,2562,10.907136342924389,13.885385424277956,-2.978249081353568,-4.974325718683057,-1.1688012800939245,944513.0,2.390597626736123e-77,True,False
2018,Poly Ridge,absolute_error,2562,1.6125286274467112,1.325006323779034,0.2875223036676773,0.21203242961905583,0.3604848840609587,836161.0,1.2712229295715287e-102,False,True
2019,Linear trend baseline,squared_error,1628,18.872726443463097,9.4774473339804,9.395279109482697,1.4503749020164005,22.730177584881783,455732.5,1.2683313377643803e-25,False,True
2019,Linear trend baseline,absolute_error,1628,1.3489504002398411,1.0302048096536243,0.318745590586217,0.20445610190546967,0.4593059480794307,441649.0,3.3928872199678323e-29,False,True
2019,KNN,squared_error,1628,8.630202483226562,9.4774473339804,-0.8472448507538389,-2.8457298437819434,0.8308152826243327,356569.0,1.7505283335543988e-05,False,False
2019,KNN,absolute_error,1628,1.0701072678493995,1.0302048096536243,0.03990245819577501,-0.029476231551231,0.10969018947303032,360200.0,5.771274195193892e-05,False,False
2019,Neural Network,squared_error,1628,7.921982469354446,9.4774473339804,-1.5554648646259535,-3.499623782474869,-0.001272106435566716,422334.0,7.05884439826203e-37,True,False
2019,Neural Network,absolute_error,1628,1.182854814632828,1.0302048096536243,0.1526500049792037,0.08925375394207108,0.21307787576330922,366983.5,6.862594538256395e-55,False,True
2019,SVM,squared_error,1628,7.448424624317912,9.4774473339804,-2.029022709662487,-4.0817446308708805,-0.35641987250966667,583594.0,2.8416039491603384e-05,True,False
2019,SVM,absolute_error,1628,0.9891405325150698,1.0302048096536243,-0.0410642771385545,-0.11766685506409033,0.03157440731159743,563451.5,1.5413242318274775e-07,False,False
2019,Linear Regression,squared_error,1628,8.368250021193008,9.4774473339804,-1.1091973127873913,-3.193009075020847,0.6508228507963746,375546.0,7.303150926893893e-52,False,False
2019,Linear Regression,absolute_error,1628,1.355275072416943,1.0302048096536243,0.3250702627633186,0.23622718352161415,0.40976553309825786,341743.5,2.5170065541862036e-64,False,True
2019,Decision Tree,squared_error,1628,11.880078540519937,9.4774473339804,2.4026312065395365,-0.3607733855264317,5.16718071507059,415088.0,5.136197738263217e-30,False,False
2019,Decision Tree,absolute_error,1628,1.2707754981314925,1.0302048096536243,0.24057068847786825,0.14463512320922753,0.3396747751775591,381999.0,7.1649581880587056e-40,False,True
2019,Random Forest,squared_error,1628,6.82813808106446,9.4774473339804,-2.6493092529159394,-4.721854942141795,-0.8909207942749177,448474.0,5.907184370550293e-27,True,False
2019,Random Forest,absolute_error,1628,1.0177941913496926,1.0302048096536243,-0.012410618303931484,-0.07935547712970585,0.05180223209144451,336589.0,6.522565821920787e-63,False,False
2019,Ridge,squared_error,1628,8.198249600396341,9.4774473339804,-1.279197733584059,-3.3865450735097555,0.5099446320777387,372441.0,5.970551175637602e-53,False,False
2019,Ridge,absolute_error,1628,1.3580988402570116,1.0302048096536243,0.3278940306033873,0.23866963791150378,0.41384382679313075,338171.5,1.0084890610063268e-65,False,True
2019,Poly Ridge,squared_error,1628,6.902205541498495,9.4774473339804,-2.5752417924819038,-5.077815904843692,-0.3841692162925054,351034.0,9.185236647928612e-61,True,False
2019,Poly Ridge,absolute_error,1628,1.324369416939275,1.0302048096536243,0.2941646072856507,0.19773071209818951,0.38483092608489816,297998.0,1.7079976618661412e-82,False,True
2020,Linear trend baseline,squared_error,873,23.895671105713074,7.283857439050898,16.611813666662172,1.8815399710168832,41.461036495804144,142435.0,5.754017200813749e-10,False,True
2020,Linear trend baseline,absolute_error,873,1.4683570259434893,1.0273548184540775,0.44100220748941193,0.23999250908384723,0.6937684754511123,138192.0,1.2603147674204891e-11,False,True
2020,KNN,squared_error,873,6.770676487554113,7.283857439050898,-0.5131809514967836,-3.275023669115883,1.3583632873504132,123345.0,0.0001894095559517814,False,False
2020,KNN,absolute_error,873,1.0698670943741893,1.0273548184540775,0.04251227592011172,-0.0490633211035464,0.12945851201082972,123909.0,0.0002722268582015819,False,False
2020,Neural Network,squared_error,873,5.897991830766875,7.283857439050898,-1.3858656082840244,-3.901902543052883,0.20961976360454798,145172.0,9.60474942570368e-10,False,False
2020,Neural Network,absolute_error,873,1.0573080438084848,1.0273548184540775,0.02995322535440743,-0.055165560297269524,0.10872419774531136,121701.5,1.9474423515989e-20,False,False
2020,SVM,squared_error,873,6.2513048746443145,7.283857439050898,-1.0325525644065825,-4.135345067883475,1.0120652202049245,164922.0,0.0005287814458401375,False,False
2020,SVM,absolute_error,873,1.0323794979058496,1.0273548184540775,0.005024679451772081,-0.10910342428635363,0.10221509897390123,159301.5,2.4439798647541354e-05,False,False
2020,Linear Regression,squared_error,873,6.35962079542156,7.283857439050898,-0.9242366436293381,-4.191675417110528,1.3637286093062135,113193.0,2.306809407144459e-25,False,False
2020,Linear Regression,absolute_error,873,1.337849537964084,1.0273548184540775,0.3104947195100067,0.17764507648431152,0.435532295168716,102490.0,2.3384397506822374e-32,False,True
2020,Decision Tree,squared_error,873,10.575550197584107,7.283857439050898,3.2916927585332085,-0.1568480920597131,6.655554808598686,138569.5,1.4610881108685085e-07,False,False
2020,Decision Tree,absolute_error,873,1.2604796712890365,1.0273548184540775,0.2331248528349588,0.0798600126781277,0.3968082049197356,129561.0,5.946302916330562e-11,False,True
2020,Random Forest,squared_error,873,6.49189719941878,7.283857439050898,-0.7919602396321186,-3.378297916696495,0.9443535768121155,121390.5,1.0223309100696097e-18,False,False
2020,Random Forest,absolute_error,873,1.0971305073978388,1.0273548184540775,0.06977568894376134,-0.014071154862491636,0.15106303228497295,95420.0,3.176207401556878e-35,False,False
2020,Ridge,squared_error,873,6.54472325299233,7.283857439050898,-0.7391341860585686,-4.056983081730567,1.609603919652411,111682.0,2.688393217857512e-26,False,False
2020,Ridge,absolute_error,873,1.3562028992603519,1.0273548184540775,0.32884808080627437,0.19270735184010856,0.45660680144682997,100533.5,9.869332007433274e-34,False,True
2020,Poly Ridge,squared_error,873,7.790013264327905,7.283857439050898,0.5061558252770079,-2.2848223960725997,2.4573327441171635,105405.0,2.3008759948586127e-30,False,False
2020,Poly Ridge,absolute_error,873,1.4031131547877789,1.0273548184540775,0.3757583363337015,0.2656528699400133,0.4823142720913139,89039.5,2.0790590886410092e-42,False,True
