fold,model,metric,n,model_mean_error,baseline_mean_error,mean_difference,ci_low,ci_high,wilcoxon_stat,wilcoxon_p,beats_baseline,worse_than_baseline
5,Linear trend baseline,absolute_error,5394,3.7166696817092544,3.714266233055964,0.002403448653290164,-0.001443881587707891,0.006440035564854438,7252596.0,0.8435967220752385,False,False
5,KNN,squared_error,5394,30.755746621581306,44.53465764684497,-13.778911025263666,-16.231803830436817,-11.540430568000886,3401720.0,2.10902690726203e-251,True,False
5,KNN,absolute_error,5394,2.4847001044110946,3.714266233055964,-1.2295661286448702,-1.312969779566446,-1.1464613960835714,2881068.5,0.0,True,False
5,Neural Network,squared_error,5394,32.67450895691831,44.53465764684497,-11.860148689926667,-15.447096907234904,-8.440123609687795,3458577.0,3.911940124443545e-244,True,False
5,Neural Network,absolute_error,5394,2.5153202618112664,3.714266233055964,-1.1989459712446981,-1.3103475838858991,-1.0900818903669431,3154986.5,3.6603755661362225e-284,True,False
5,SVM,squared_error,5394,28.205973396323262,44.53465764684497,-16.328684250521707,-18.735817483822665,-14.033011136049343,3302984.0,2.8783451618834365e-264,True,False
5,SVM,absolute_error,5394,2.500435070941878,3.714266233055964,-1.213831162114086,-1.2992550292964413,-1.130296828016189,3130612.0,1.6485700896274327e-287,True,False
5,Linear Regression,squared_error,5394,31.314414134836085,44.53465764684497,-13.220243512008883,-16.226533621146363,-10.340490804520808,4152457.0,4.017985900355545e-164,True,False
5,Linear Regression,absolute_error,5394,2.721389621629575,3.714266233055964,-0.992876611426389,-1.0880510500874254,-0.8982996516688216,3857879.5,3.8589427841554375e-196,True,False
5,Decision Tree,squared_error,5394,39.967869891341124,44.53465764684497,-4.566787755503846,-8.50646884847949,-0.7057213106824002,3775862.0,1.3771320860715832e-205,True,False
5,Decision Tree,absolute_error,5394,2.7353291068844827,3.714266233055964,-0.9789371261714818,-1.0981689549017233,-0.85857083184839,3360414.5,8.034844906865736e-257,True,False
5,Random Forest,squared_error,5394,26.393503121794687,44.53465764684497,-18.141154525050286,-21.020778490016912,-15.388752120413516,3101944.0,1.803272418134311e-291,True,False
5,Random Forest,absolute_error,5394,2.460002298023384,3.714266233055964,-1.2542639350325806,-1.3485018692660196,-1.1610227168758014,2945284.5,0.0,True,False
5,Ridge,squared_error,5394,29.812048391128805,44.53465764684497,-14.72260925571616,-17.6853112622728,-11.90905636428832,3949036.0,6.333882804859278e-186,True,False
5,Ridge,absolute_error,5394,2.6887831605556434,3.714266233055964,-1.0254830725003214,-1.120746222085584,-0.9313142133088363,3725706.5,1.9294701244756397e-211,True,False
5,Poly Ridge,squared_error,5394,28.103686056624078,44.53465764684497,-16.430971590220896,-19.25687505017054,-13.731876574710142,4105063.0,4.435936623266006e-169,True,False
5,Poly Ridge,absolute_error,5394,2.7185310990946254,3.714266233055964,-0.9957351339613388,-1.0935267905248633,-0.9006380983382499,3967318.5,6.565314287831676e-184,True,False
